file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\extension\director\impl\TestAppService.java,org.apache.dubbo.common.extension.director.impl.TestAppService,,7,32,9,,,,,,,,,
C:\oodass1\dubbo\dubbo-remoting\dubbo-remoting-netty4\src\main\java\org\apache\dubbo\remoting\transport\netty4\ssl\SslContexts.java,org.apache.dubbo.remoting.transport.netty4.ssl.SslContexts,,10,112,23,,,,,,,,,
C:\oodass1\dubbo\dubbo-metrics\dubbo-metrics-prometheus\src\main\java\org\apache\dubbo\metrics\prometheus\NopPrometheusMetricsReporter.java,org.apache.dubbo.metrics.prometheus.NopPrometheusMetricsReporter,,1,9,3,,,,,,,,,
C:\oodass1\dubbo\dubbo-common\src\test\java\org\apache\dubbo\config\context\ConfigManagerTest.java,org.apache.dubbo.config.context.ConfigManagerTest$TestPreferSerializationProvider,,1,5,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\mock\TestProxyFactory.java,org.apache.dubbo.config.mock.TestProxyFactory,,4,7,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-metrics\dubbo-metrics-api\src\main\java\org\apache\dubbo\metrics\model\ThreadPoolRejectMetric.java,org.apache.dubbo.metrics.model.ThreadPoolRejectMetric,,2,38,11,,,,,,,,,
C:\oodass1\dubbo\dubbo-spring-boot-project\dubbo-spring-boot-autoconfigure\src\main\java\org\apache\dubbo\spring\boot\autoconfigure\SpringBoot12Condition.java,org.apache.dubbo.spring.boot.autoconfigure.SpringBoot12Condition,,3,6,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-plugin\dubbo-reactive\src\test\java\org\apache\dubbo\reactive\ManyToManyMethodHandlerTest.java,org.apache.dubbo.reactive.ManyToManyMethodHandlerTest,,4,15,2,,,,,,,,,
C:\oodass1\dubbo\dubbo-demo\dubbo-demo-mcp-server\src\main\java\org\apache\dubbo\mcp\server\demo\McpDemoApplication.java,org.apache.dubbo.mcp.server.demo.McpDemoApplication,,3,5,1,,,,,,,,,
C:\oodass1\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\mesh\rule\virtualservice\destination\DubboRouteDestination.java,org.apache.dubbo.rpc.cluster.router.mesh.rule.virtualservice.destination.DubboRouteDestination,,1,16,4,,,,,,,,,
