file,class,,cbo,loc,wmc,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\vfs\FileSystemUtils.java,com.google.devtools.build.lib.vfs.FileSystemUtils$ShortReadIOException,,1,11,1,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\skyframe\ArtifactConflictFinder.java,com.google.devtools.build.lib.skyframe.ArtifactConflictFinder,,14,48,12,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\skyframe\EvaluationProgressReceiver.java,com.google.devtools.build.skyframe.EvaluationProgressReceiver$NodeState,,0,5,0,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\analysis\config\BuildOptionDetails.java,com.google.devtools.build.lib.analysis.config.BuildOptionDetails,,8,70,18,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\util\io\DelegatingOutErr.java,com.google.devtools.build.lib.util.io.DelegatingOutErr$DelegatingOutputStream,,1,48,15,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\bazel\repository\decompressor\SevenZDecompressorTest.java,com.google.devtools.build.lib.bazel.repository.decompressor.SevenZDecompressorTest,,14,96,9,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\buildtool\ConvenienceSymlinkTest.java,com.google.devtools.build.lib.buildtool.ConvenienceSymlinkTest$UselessOptionTransition,,6,14,3,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\supplier\InterruptibleSupplier.java,com.google.devtools.build.lib.supplier.InterruptibleSupplier,,1,3,1,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\windows\WindowsProcessesTest.java,com.google.devtools.build.lib.windows.WindowsProcessesTest,,10,319,43,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\bzlmod\YankedVersionsUtil.java,com.google.devtools.build.lib.bazel.bzlmod.YankedVersionsUtil,,6,47,13,,,,,,,,,
C:\oodass1\projects\bazel\src\test\java\com\google\devtools\build\lib\packages\util\MockPythonSupport.java,com.google.devtools.build.lib.packages.util.MockPythonSupport,,2,4,2,,,,,,,,,
C:\oodass1\projects\bazel\src\main\java\com\google\devtools\build\lib\bazel\BazelRepositoryModule.java,com.google.devtools.build.lib.bazel.BazelRepositoryModule,,68,345,71,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\optimize\info\FieldOptimizationInfo.java,proguard.optimize.info.FieldOptimizationInfo,,7,30,9,,,,,,,,,
C:\oodass1\projects\bazel\third_party\java\proguard\proguard6.2.2\src\proguard\classfile\attribute\preverification\TopType.java,proguard.classfile.attribute.preverification.TopType,,5,17,5,,,,,,,,,
