file,class,type,cbo,loc,wmc
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\common\BaseCacheEventListener.java,com.facebook.cache.common.BaseCacheEventListener,class,3,18,8
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\datasource\RetainingDataSourceSupplier.java,com.facebook.datasource.RetainingDataSourceSupplier,class,8,98,4
C:\oodass1\projects\fresco\animated-base\src\test\java\android\net\http\AndroidHttpClient.java,android.net.http.AndroidHttpClient,class,0,2,0
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\ThrottlingProducerTest.java,com.facebook.imagepipeline.producers.ThrottlingProducerTest,class,13,99,4
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\logging\LoggingDelegate.java,com.facebook.common.logging.LoggingDelegate,interface,1,18,16
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\instrumentation\InstrumentedImageView.java,com.facebook.samples.comparison.instrumentation.InstrumentedImageView,class,8,35,9
C:\oodass1\projects\fresco\ui-core\src\main\java\com\facebook\drawee\drawable\ScalingUtils.java,com.facebook.drawee.drawable.ScalingUtils$ScaleTypeFitStart,innerclass,5,13,2
C:\oodass1\projects\fresco\samples\scrollperf\src\main\java\com\facebook\samples\scrollperf\data\impl\LocalResourceSimpleAdapter.java,com.facebook.samples.scrollperf.data.impl.LocalResourceSimpleAdapter,class,6,33,10
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\view\DraweeView.java,com.facebook.drawee.view.DraweeView,class,18,175,47
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imagepipeline\ImagePipelinePrefetchFragment.java,com.facebook.fresco.samples.showcase.imagepipeline.ImagePipelinePrefetchFragment$PrefetchSubscriber,innerclass,3,20,4
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\ScoreBasedEvictionComparatorSupplier.java,com.facebook.cache.disk.ScoreBasedEvictionComparatorSupplier,class,6,24,3
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\util\StreamUtil.java,com.facebook.common.util.StreamUtil$Anonymous1,anonymous,1,10,2
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\drawable\MatrixDrawable.java,com.facebook.drawee.drawable.MatrixDrawable,class,9,72,17
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\image\ImageInfoImpl.java,com.facebook.imagepipeline.image.ImageInfoImpl,class,4,29,6
C:\oodass1\projects\fresco\samples\scrollperf\src\main\java\com\facebook\samples\scrollperf\util\SizeUtil.java,com.facebook.samples.scrollperf.util.SizeUtil,class,10,36,11
C:\oodass1\projects\fresco\fbcore\src\test\java\com\facebook\common\util\UriUtilTest.java,com.facebook.common.util.UriUtilTest,class,7,59,12
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationCacheSelectorConfigurator.java,com.facebook.samples.animation2.bitmap.BitmapAnimationCacheSelectorConfigurator$Anonymous5,anonymous,4,9,2
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\BitmapPrepareProducer.java,com.facebook.imagepipeline.producers.BitmapPrepareProducer,class,9,59,5
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationCacheSelectorConfigurator.java,com.facebook.samples.animation2.bitmap.BitmapAnimationCacheSelectorConfigurator$Anonymous1,anonymous,2,8,2
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\image\CloseableBitmap.java,com.facebook.imagepipeline.image.CloseableBitmap,interface,3,3,1
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationCacheSelectorConfigurator.java,com.facebook.samples.animation2.bitmap.BitmapAnimationCacheSelectorConfigurator$Anonymous2,anonymous,2,8,2
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationCacheSelectorConfigurator.java,com.facebook.samples.animation2.bitmap.BitmapAnimationCacheSelectorConfigurator$Anonymous3,anonymous,2,8,2
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imagepipeline\ImagePipelinePrefetchFragment.java,com.facebook.fresco.samples.showcase.imagepipeline.ImagePipelinePrefetchFragment$Anonymous1$Anonymous2,anonymous,0,5,1
C:\oodass1\projects\fresco\imagepipeline-backends\imagepipeline-volley\src\main\java\com\facebook\imagepipeline\backends\volley\VolleyNetworkFetcher.java,com.facebook.imagepipeline.backends.volley.VolleyNetworkFetcher$Anonymous3$Anonymous4,anonymous,1,5,3
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\BitmapAnimationCacheSelectorConfigurator.java,com.facebook.samples.animation2.bitmap.BitmapAnimationCacheSelectorConfigurator$Anonymous4,anonymous,3,8,3
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\svg\ImageFormatSvgFragment.java,com.facebook.fresco.samples.showcase.imageformat.svg.ImageFormatSvgFragment$ShowRestartMessageDialog,innerclass,5,12,1
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imageformat\svg\ImageFormatSvgFragment.java,com.facebook.fresco.samples.showcase.imageformat.svg.ImageFormatSvgFragment,class,12,46,4
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\util\UriUtil.java,com.facebook.common.util.UriUtil,class,9,129,37
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\image\BaseCloseableStaticBitmap.java,com.facebook.imagepipeline.image.BaseCloseableStaticBitmap,class,11,86,29
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\instrumentation\InstrumentedNetworkImageView.java,com.facebook.samples.comparison.instrumentation.InstrumentedNetworkImageView,class,7,32,8
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\AddImageTransformMetaDataProducerTest.java,com.facebook.imagepipeline.producers.AddImageTransformMetaDataProducerTest,class,24,147,11
C:\oodass1\projects\fresco\samples\zoomable\src\main\java\com\facebook\samples\zoomable\DoubleTapGestureListener.java,com.facebook.samples.zoomable.DoubleTapGestureListener,class,8,58,12
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\PostprocessorProducer.java,com.facebook.imagepipeline.producers.PostprocessorProducer$RepeatedPostprocessorConsumer,innerclass,13,75,14
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\imagepipeline\ImagePipelineResizingFragment.java,com.facebook.fresco.samples.showcase.imagepipeline.ImagePipelineResizingFragment,class,20,119,5
C:\oodass1\projects\fresco\samples\scrollperf\src\main\java\com\facebook\samples\scrollperf\util\VitoUtil.java,com.facebook.samples.scrollperf.util.VitoUtil,class,9,56,16
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\Objects.java,com.facebook.common.internal.Objects,class,6,122,10
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\AddImageTransformMetaDataProducer.java,com.facebook.imagepipeline.producers.AddImageTransformMetaDataProducer$AddImageTransformMetaDataConsumer,innerclass,5,15,4
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\cache\disk\DynamicDefaultDiskStorage.java,com.facebook.cache.disk.DynamicDefaultDiskStorage$State,innerclass,3,8,1
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\bitmap\ExampleBitmapAnimationFactory.java,com.facebook.samples.animation2.bitmap.ExampleBitmapAnimationFactory,class,15,66,1
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\references\OOMSoftReference.java,com.facebook.common.references.OOMSoftReference,class,3,32,8
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\ByteStreams.java,com.facebook.common.internal.ByteStreams$FastByteArrayOutputStream,innerclass,1,5,1
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\PostprocessedBitmapMemoryCacheProducerTest.java,com.facebook.imagepipeline.producers.PostprocessedBitmapMemoryCacheProducerTest,class,23,133,12
C:\oodass1\projects\fresco\samples\showcase\src\main\java\com\facebook\fresco\samples\showcase\vito\ninepatch\NinePatchExample.java,com.facebook.fresco.samples.showcase.vito.ninepatch.NinePatchExample,class,4,62,0
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\datasource\IncreasingQualityDataSourceSupplier.java,com.facebook.datasource.IncreasingQualityDataSourceSupplier$IncreasingQualityDataSource$InternalDataSubscriber,innerclass,5,24,8
C:\oodass1\projects\fresco\mockito-config\src\main\java\org\mockito\configuration\MockitoConfiguration.java,org.mockito.configuration.MockitoConfiguration,class,2,5,1
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\PriorityStarvingThrottlingProducer.java,com.facebook.imagepipeline.producers.PriorityStarvingThrottlingProducer$Item,innerclass,3,10,1
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\callercontext\ContextChain.java,com.facebook.common.callercontext.ContextChain$Anonymous1,anonymous,2,8,2
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\memory\MemoryChunkPool.java,com.facebook.imagepipeline.memory.MemoryChunkPool,class,11,42,12
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\Drawables.java,com.facebook.samples.comparison.Drawables,class,2,14,4
C:\oodass1\projects\fresco\imagepipeline-base\src\main\java\com\facebook\imagepipeline\cache\CountingMemoryCache.java,com.facebook.imagepipeline.cache.CountingMemoryCache$Entry,innerclass,8,24,3
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\BitmapPrepareProducerTest.java,com.facebook.imagepipeline.producers.BitmapPrepareProducerTest,class,17,82,10
C:\oodass1\projects\fresco\animated-base\src\main\java\com\facebook\imagepipeline\animated\base\AnimatedDrawableOptions.java,com.facebook.imagepipeline.animated.base.AnimatedDrawableOptions,class,4,16,2
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\producers\EncodedMemoryCacheProducerTest.java,com.facebook.imagepipeline.producers.EncodedMemoryCacheProducerTest$ProduceResultsNewResultAnswer,innerclass,6,17,3
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\drawable\ScaleTypeDrawableTest.java,com.facebook.drawee.drawable.ScaleTypeDrawableTest,class,15,196,20
C:\oodass1\projects\fresco\samples\comparison\src\main\java\com\facebook\samples\comparison\holders\UilHolder.java,com.facebook.samples.comparison.holders.UilHolder,class,6,10,2
C:\oodass1\projects\fresco\fbcore\src\main\java\com\facebook\common\internal\ImmutableMap.java,com.facebook.common.internal.ImmutableMap,class,4,56,9
C:\oodass1\projects\fresco\static-webp\src\main\java\com\facebook\webpsupport\WebPImageDecoder.java,com.facebook.webpsupport.WebPImageDecoder,class,12,37,7
C:\oodass1\projects\fresco\drawee\src\main\java\com\facebook\drawee\controller\ControllerViewportVisibilityListener.java,com.facebook.drawee.controller.ControllerViewportVisibilityListener,interface,0,4,2
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\generic\GenericDraweeHierarchyBuilderTest.java,com.facebook.drawee.generic.GenericDraweeHierarchyBuilderTest,class,11,101,2
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\PostprocessorProducer.java,com.facebook.imagepipeline.producers.PostprocessorProducer,class,17,288,3
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\producers\ThrottlingProducer.java,com.facebook.imagepipeline.producers.ThrottlingProducer$ThrottlerConsumer$Anonymous1,anonymous,1,5,1
C:\oodass1\projects\fresco\drawee\src\test\java\javax\microedition\khronos\opengles\GL.java,GL,interface,0,2,0
C:\oodass1\projects\fresco\samples\animation2\src\main\java\com\facebook\samples\animation2\color\SimpleColorFragment.java,com.facebook.samples.animation2.color.SimpleColorFragment$Anonymous1,anonymous,1,10,2
C:\oodass1\projects\fresco\drawee\src\test\java\com\facebook\drawee\debug\DebugControllerOverlayDrawableInternalTest.java,com.facebook.drawee.debug.DebugControllerOverlayDrawableInternalTest,class,5,34,5
C:\oodass1\projects\fresco\imagepipeline\src\main\java\com\facebook\imagepipeline\cache\InstrumentedMemoryCacheBitmapMemoryCacheFactory.java,com.facebook.imagepipeline.cache.InstrumentedMemoryCacheBitmapMemoryCacheFactory,class,7,18,1
C:\oodass1\projects\fresco\imagepipeline\src\test\java\com\facebook\imagepipeline\core\ProducerSequenceFactoryTest.java,com.facebook.imagepipeline.core.ProducerSequenceFactoryTest$RecordingCustomProducerSequenceFactoryIsCalled,innerclass,7,7,1
